WRB_PHASES,WRB4,WRB2,FAO90,ROOT_DEPTH,PHASE1,PHASE2,ROOTS,IL,SWR,DRAINAGE,AWC,ADD_PROP,LAYER,TOPDEP,BOTDEP,COARSE,SAND,SILT,CLAY,TEXTURE_USDA,TEXTURE_SOTER,BULK,REF_BULK,ORG_CARBON,PH_WATER,TOTAL_N,CN_RATIO,CEC_SOIL,CEC_CLAY,CEC_EFF,TEB,BSAT,ALUM_SAT,ESP,TCARBON_EQ,GYPSUM,ELEC_COND
GLmo,GLmo,GL,GLm,,,,1.0,1.0,2.0,P,,2.0,D3,40,60,3,36,38,26,9.0,M,1.42,1.8,1.176,7.3000002,1.47,9,20,64,25,24,97,0,2,14.2,0.1,0
LPum,LPum,LP,LPu,,,,2.0,3.0,1.0,I,,0.0,D2,20,40,21,48,33,19,9.0,M,1.13,1.7,1.37,5.0999999,2.4200001,13,14,43,4,3,26,12,1,0.0,0.5,0
AR,AR,AR,ARh,,,,,,,SE,,,D3,40,60,6,90,5,5,12.0,C,1.5700001,1.28,0.15000001,6.5999999,0.23,7,3,56,5,5,93,0,4,0.0,0.30000001,0
LXkk,,LX,LXh,,1.0,0.0,,,0.0,MW,,0.0,D4,60,80,8,47,16,37,8.0,F,1.61,1.92,0.244,5.8000002,0.34999999,7,7,16,5,5,77,7,3,0.0,0.0,0
RTgl,RTgl,RT,PDg,,,,1.0,1.0,3.0,P,,0.0,D5,80,100,1,37,37,26,9.0,M,1.73,1.8,0.094999999,5.5999999,0.23999999,7,15,64,25,12,77,21,2,0.0,0.0,0
CRcm,CRcm,CR,CMi,,,,,,,MW,,2.0,D4,60,80,6,39,46,15,9.0,M,0.74000001,1.61,7.336,7.4000001,0.81999999,12,13,57,20,15,96,0,2,13.4,1.6,0
RGleeu,RGeu,RG,RGe,3.0,2.0,0.0,,,,MW,29.0,3.0,D1,0,20,20,69,18,13,11.0,C,1.4400001,1.59,0.97600001,6.3000002,0.91000003,11,8,39,6,6,74,0,3,0.0,2.9000001,1
FLdy,FLdy,FL,FLd,,,,5.0,1.0,1.0,MW,,0.0,D5,80,100,38,49,41,10,9.0,M,1.4,1.48,0.47800002,5.8000002,0.63999999,7,7,60,3,4,59,35,2,0.0,1.4,2
HSfi,HSfi,HS,HSf,,,,1.0,1.0,3.0,VP,,0.0,D7,150,200,21,57,28,15,11.0,M,0.20999999,1.63,36.980999,4.5,11.53,27,48,65,43,28,98,1,39,0.0,0.0,0
ANmo,ANmo,AN,ANm,,,,1.0,1.0,1.0,MW,,0.0,D4,60,80,28,38,46,16,9.0,M,0.82999998,1.63,0.37200001,6.0,0.41,9,13,58,5,6,71,0,5,0.0,0.0,1
HS,HS,HS,HS,1.0,0.0,0.0,,,0.0,VP,206.0,0.0,D1,0,20,11,30,40,30,5.0,M,0.27000001,1.84,40.400002,5.0,17.790001,21,89,48,64,59,59,2,2,0.0,0.0,1
RGca,RGca,RG,RGc,,,,1.0,1.0,2.0,MW,,0.0,D4,60,80,4,52,32,16,9.0,M,1.46,1.64,0.27700001,8.3000002,0.47,8,13,92,42,41,99,0,8,10.5,1.1,2
RGeu,RGeu,RG,RGe,,,,4.0,1.0,1.0,MW,,0.0,D6,100,150,32,59,28,13,11.0,M,1.62,1.58,0.234,7.8000002,0.34999999,13,11,84,24,23,96,0,11,3.5,1.3,3
LVha,LVha,LV,LVh,,,,1.0,1.0,1.0,MW,,0.0,D5,80,100,16,36,35,29,5.0,M,1.67,1.83,0.223,6.0999999,0.46000001,6,16,55,16,14,75,0,2,0.0,3.3,2
LXkk,LXha,LX,LXh,,18.0,0.0,,,0.0,MW,,0.0,D2,20,40,12,59,12,29,10.0,M,1.46,1.85,0.57800001,6.0999999,0.62,10,6,17,5,4,80,0,2,0.0,0.0,0
CMeu,CMeu,CM,CMe,,,,,,0.0,MW,,0.0,D6,100,150,21,44,36,20,9.0,M,1.59,1.71,0.255,6.9000001,0.47,6,13,55,19,18,93,0,3,6.3000002,2.5999999,1
CMca,CMca,CM,CMc,,,,,,,MW,,3.0,D4,60,80,20,35,34,31,5.0,M,1.45,1.85,0.36300001,8.0,0.40000001,8,30,89,63,61,97,0,3,36.299999,4.9000001,0
SCccqs,SCcc,SC,SCk,,19.0,0.0,,,0.0,MW,,0.0,D4,60,80,37,39,30,31,5.0,M,1.48,1.86,0.22499999,8.3999996,0.67000002,9,14,53,56,56,99,0,59,27.299999,1.2,20
GLum,GLum,GL,GLu,,,,1.0,1.0,3.0,P,,0.0,D3,40,60,15,46,28,26,9.0,M,1.4400001,1.8,2.0079999,5.0999999,1.4400001,15,12,22,6,5,37,22,2,0.0,0.0,0
AC,AC,AC,AC,,,,,,,MW,,0.0,D7,150,200,20,46,31,23,9.0,M,1.58,1.76,0.081,5.0999999,0.34,5,6,29,7,3,52,49,2,0.0,0.0,0
RGca,RGca,RG,RGc,,,,3.0,1.0,1.0,MW,,0.0,D2,20,40,12,42,33,25,9.0,M,1.53,1.79,0.55900002,8.0,0.64999998,9,17,65,31,31,99,0,2,22.799999,1.6,1
RGca,RGca,RG,RGc,,0.0,0.0,,,,,,0.0,D4,60,80,4,52,32,16,9.0,M,1.46,1.64,0.27700001,8.3000002,0.47,8,13,92,42,41,99,0,8,10.5,1.1,2
PZal,PZal,PZ,PZh,,,,5.0,2.0,4.0,MW,,0.0,D2,20,40,18,58,37,5,11.0,M,1.25,1.25,2.221,5.0999999,1.4,15,13,88,4,2,20,53,1,0.0,0.0,0
ANvi,ANvi,AN,ANz,,,,,,1.0,MW,,0.0,D3,40,60,23,57,37,6,11.0,M,1.03,1.3200001,0.58899999,6.3000002,0.5,11,11,120,6,5,58,0,3,0.0,0.0,1
CMdy,CMdy,CM,CMd,,,,1.0,3.0,2.0,MW,,0.0,D3,40,60,23,51,39,10,9.0,M,1.48,1.48,0.50599998,5.4000001,0.52999997,11,7,60,4,3,44,40,2,0.0,1.6,1
